,변환,소비자물가지수(CPI)_변동률
665,2020/06,0.3
666,2020/07,-0.1
667,2020/08,0.6
668,2020/09,0.5
669,2020/10,-0.6
670,2020/11,-0.1
671,2020/12,0.2
672,2021/01,0.7
673,2021/02,0.5
674,2021/03,0.3
675,2021/04,0.1
676,2021/05,0.1
677,2021/06,0.0
678,2021/07,0.2
679,2021/08,0.5
680,2021/09,0.4
681,2021/10,0.2
682,2021/11,0.5
683,2021/12,0.2
684,2022/01,0.8
685,2022/02,0.5
686,2022/03,0.6
687,2022/04,0.7
688,2022/05,0.6
689,2022/06,0.7
690,2022/07,0.5
691,2022/08,-0.1
692,2022/09,0.2
693,2022/10,0.3
694,2022/11,-0.1
695,2022/12,0.2
696,2023/01,0.7
697,2023/02,0.2
698,2023/03,0.2
699,2023/04,0.2
700,2023/05,0.3
701,2023/06,0.0
702,2023/07,0.1
703,2023/08,0.9
704,2023/09,0.5
705,2023/10,0.4
706,2023/11,-0.5
707,2023/12,0.0
708,2024/01,0.4
709,2024/02,0.5
710,2024/03,0.1
711,2024/04,0.1
712,2024/05,0.1
713,2024/06,-0.2
714,2024/07,0.3
715,2024/08,0.4
716,2024/09,0.1
717,2024/10,0.0
