,변환,환율 변동율
618,2015/11,0.3
619,2015/12,1.8
620,2016/01,2.5
621,2016/02,1.3
622,2016/03,-2.4
623,2016/04,-3.4
624,2016/05,2.1
625,2016/06,-0.1
626,2016/07,-2.3
627,2016/08,-2.8
628,2016/09,-0.4
629,2016/10,1.6
630,2016/11,3.2
631,2016/12,1.8
632,2017/01,0.2
633,2017/02,-3.4
634,2017/03,-0.9
635,2017/04,-0.2
636,2017/05,-0.7
637,2017/06,0.4
638,2017/07,0.4
639,2017/08,-0.3
640,2017/09,0.1
641,2017/10,0.0
642,2017/11,-2.3
643,2017/12,-1.7
644,2018/01,-1.8
645,2018/02,1.2
646,2018/03,-0.7
647,2018/04,-0.4
648,2018/05,0.8
649,2018/06,1.5
650,2018/07,2.7
651,2018/08,-0.1
652,2018/09,0.0
653,2018/10,0.9
654,2018/11,-0.2
655,2018/12,-0.5
656,2019/01,-0.1
657,2019/02,0.0
658,2019/03,0.7
659,2019/04,0.9
660,2019/05,3.7
661,2019/06,-0.6
662,2019/07,0.0
663,2019/08,2.9
664,2019/09,-0.9
665,2019/10,-1.1
666,2019/11,-1.4
667,2019/12,0.7
668,2020/01,-1.0
669,2020/02,2.5
670,2020/03,2.2
671,2020/04,0.4
672,2020/05,0.3
673,2020/06,-1.5
674,2020/07,-0.9
675,2020/08,-1.0
676,2020/09,-0.7
677,2020/10,-2.9
678,2020/11,-2.4
679,2020/12,-1.9
680,2021/01,0.2
681,2021/02,1.3
682,2021/03,1.7
683,2021/04,-1.0
684,2021/05,0.3
685,2021/06,-0.2
686,2021/07,2.0
687,2021/08,1.4
688,2021/09,0.8
689,2021/10,1.1
690,2021/11,0.0
691,2021/12,0.1
692,2022/01,0.9
693,2022/02,0.4
694,2022/03,1.9
695,2022/04,0.9
696,2022/05,3.0
697,2022/06,0.6
698,2022/07,2.4
699,2022/08,0.8
700,2022/09,5.5
701,2022/10,2.5
702,2022/11,-4.4
703,2022/12,-5.0
704,2023/01,-3.8
705,2023/02,1.9
706,2023/03,2.8
707,2023/04,1.1
708,2023/05,0.6
709,2023/06,-2.4
710,2023/07,-0.8
711,2023/08,2.5
712,2023/09,0.8
713,2023/10,1.6
714,2023/11,-3.0
715,2023/12,-0.5
716,2024/01,1.5
717,2024/02,0.6
718,2024/03,-0.1
719,2024/04,2.8
720,2024/05,-0.2
721,2024/06,1.1
722,2024/07,0.2
723,2024/08,-2.1
724,2024/09,-1.4
725,2024/10,2.0
